#TENSORS 244
#DATASEG 167639366
encoder.down_blocks.3.resnets.1.conv2.weight | BF16 | [512,512,3,3] | 141926726 | 4718592 | 6060343056668796456
encoder.down_blocks.3.resnets.1.norm1.bias | BF16 | [512] | 146645318 | 1024 | 2152578034879855135
encoder.down_blocks.3.resnets.1.norm1.weight | BF16 | [512] | 146646342 | 1024 | 11017326738736388086
encoder.down_blocks.3.resnets.1.norm2.bias | BF16 | [512] | 146647366 | 1024 | 5983696236059312107
encoder.down_blocks.3.resnets.1.norm2.weight | BF16 | [512] | 146648390 | 1024 | 245520339945004905
encoder.mid_block.attentions.0.group_norm.bias | BF16 | [512] | 146649414 | 1024 | 11854038882917369658
encoder.mid_block.attentions.0.group_norm.weight | BF16 | [512] | 146650438 | 1024 | 12559174364328486192
encoder.mid_block.attentions.0.to_k.bias | BF16 | [512] | 146651462 | 1024 | 16553916303993510669
encoder.mid_block.attentions.0.to_k.weight | BF16 | [512,512] | 146652486 | 524288 | 5187184060294355726
encoder.mid_block.attentions.0.to_out.0.bias | BF16 | [512] | 147176774 | 1024 | 14923763013394141008
encoder.mid_block.attentions.0.to_out.0.weight | BF16 | [512,512] | 147177798 | 524288 | 1524536815285616357
encoder.mid_block.attentions.0.to_q.bias | BF16 | [512] | 147702086 | 1024 | 2681954730668853665
encoder.mid_block.attentions.0.to_q.weight | BF16 | [512,512] | 147703110 | 524288 | 13103312142787127609
encoder.mid_block.attentions.0.to_v.bias | BF16 | [512] | 148227398 | 1024 | 18319553848971117114
encoder.mid_block.attentions.0.to_v.weight | BF16 | [512,512] | 148228422 | 524288 | 8214843003791142245
encoder.mid_block.resnets.0.conv1.bias | BF16 | [512] | 148752710 | 1024 | 1470966941704059841
encoder.mid_block.resnets.0.conv1.weight | BF16 | [512,512,3,3] | 148753734 | 4718592 | 15976229309698398084
encoder.mid_block.resnets.0.conv2.bias | BF16 | [512] | 153472326 | 1024 | 855573600399127062
encoder.mid_block.resnets.0.conv2.weight | BF16 | [512,512,3,3] | 153473350 | 4718592 | 12817536928479660105
encoder.mid_block.resnets.0.norm1.bias | BF16 | [512] | 158191942 | 1024 | 14479749725820026664
encoder.mid_block.resnets.0.norm1.weight | BF16 | [512] | 158192966 | 1024 | 17504774698969165435
encoder.mid_block.resnets.0.norm2.bias | BF16 | [512] | 158193990 | 1024 | 9122527633095446896
encoder.mid_block.resnets.0.norm2.weight | BF16 | [512] | 158195014 | 1024 | 13982561708620045656
encoder.mid_block.resnets.1.conv1.bias | BF16 | [512] | 158196038 | 1024 | 4155814005907208648
encoder.mid_block.resnets.1.conv1.weight | BF16 | [512,512,3,3] | 158197062 | 4718592 | 2445081405368026814
encoder.mid_block.resnets.1.conv2.bias | BF16 | [512] | 162915654 | 1024 | 7486912226044886958
encoder.mid_block.resnets.1.conv2.weight | BF16 | [512,512,3,3] | 162916678 | 4718592 | 10318426732000742653
encoder.mid_block.resnets.1.norm1.bias | BF16 | [512] | 167635270 | 1024 | 2625734974199536972
encoder.mid_block.resnets.1.norm1.weight | BF16 | [512] | 167636294 | 1024 | 11930490591110574498
encoder.mid_block.resnets.1.norm2.bias | BF16 | [512] | 167637318 | 1024 | 2588575309957259775
encoder.mid_block.resnets.1.norm2.weight | BF16 | [512] | 167638342 | 1024 | 2752320196111080737
